,num_components,distortion,inertia
0,2,0.9687878396932098,43072.539350396146
1,4,0.9475262102829709,41746.410417232335
2,6,0.933266157531185,40775.42287537358
3,8,0.9258087731727632,40205.71071810525
4,10,0.9221743509225613,39900.73815913261
5,12,0.9162536096289143,39518.10296915697
6,14,0.914110471399024,39313.5563696406
7,16,0.9091603282763095,39128.88471981845
8,18,0.9063523624260663,38890.28404008886
9,20,0.9063014505626222,38746.28613327392
10,22,0.901481547066305,38470.0888546846
11,24,0.8976943063496136,38271.0290375322
12,26,0.894320791877823,38136.65824589042
13,28,0.8954877761780595,38030.881296966
